pitcher,batter,events,launch_speed,launch_angle,spray_angle
593423,607776,out,58.5,14,7.46597406683168
544931,516416,out,65.3,-59,35.4586219200834
457918,621006,out,89.2,39,38.251415719331
448802,452655,out,83.1,-29,-9.36255949453628
434378,405395,out,78,5,-11.1019988268958
593958,457705,b4,104.2,29,-45.0366044795677
605182,593934,b2,81.1,21,-46.9883342596043
621107,608348,out,99.3,-8,-20.1849311956312
488768,570482,out,96.6,-2,-14.3868443099335
543507,542340,b1,78.2,5,37.7945231826034
628333,453568,b2,105.4,15,-20.6075672653853
573185,502054,out,108,-7,-19.1079122988734
669456,600524,out,84,56,3.87676759876409
467100,446359,out,82.6,83,-82.767044677037
592761,606466,out,55.6,20,-2.73138402071325
593974,570256,out,80,69,-67.1793777446739
607192,650402,b1,61,10,41.7246702773882
434378,541645,out,105.2,4,8.59249405773424
594798,607208,b1,94.7,2,16.6418762691198
542881,660271,b4,112.9,20,31.9777763155125
596071,592826,out,80,69,-59.6998291228547
592773,609280,out,88.5,0,-38.1919012329898
663978,500743,out,90.8,36,-3.40129422420646
621244,543401,out,91.3,37,-22.7393614486098
670950,656941,out,95.6,42,-17.3880288384216
456701,516782,out,58.4,-17,-17.5768476497636
572403,455755,b1,95.2,0,-3.44717217811648
501593,592663,out,58.7,7,-17.9048031928702
489119,546991,out,76.4,-37,-37.6849457036971
640455,462101,out,77.2,50,52.5194204084055
450203,592348,b1,101.8,3,36.5243329019604
592858,643230,b1,77.7,11,35.9700953727938
475054,545341,out,88,18,-7.5297848464896
434378,405395,b4,107.6,16,-28.5611131942434
658305,646240,b4,100.9,25,18.4155925260546
621219,665862,b1,95.9,-20,-21.7824461655664
656629,451192,out,99.9,-13,34.4876879949694
592869,581527,out,105.5,0,64.6516309181688
593958,602104,out,97.8,-12,-13.5459555299956
605397,606466,out,86.1,30,37.4630683266428
641743,547180,out,86,47,-50.5374813359423
643256,593871,out,91,60,-30.0372429654121
458924,622168,b1,103.5,10,-17.9829496267406
471911,547982,b1,103.4,-1,48.1252378612782
675916,572287,out,106.2,-20,-22.0437887903854
461872,542303,out,91,44,14.9283949938045
501697,434778,out,68.6,-16,32.7866016370652
621237,543063,out,85.5,-3,25.9705637746228
592102,431145,out,74.4,-4,14.000693884065
622492,502671,b2,103.4,16,-42.3602122273266
622097,542513,out,85,-33,7.98011374516847
621121,650490,out,88,-14,-6.58231864119339
622088,570560,out,95.8,-27,10.6602119876545
664062,664199,out,89.8,32,15.6322322714024
571510,596748,out,73.5,32,33.0654621767724
621242,665742,out,95.2,-9,22.8043362337767
592879,621043,b4,106.5,29,-12.1318735104443
656354,668731,b1,98.2,-1,14.1083416240977
543208,506702,out,95.5,44,32.5071586529114
425844,673490,out,93.9,50,-19.7881675051918
548389,435622,b1,99.6,-6,-22.5372461436223
605540,650333,b1,100.5,12,-11.6033477418279
621219,664874,out,70.4,-34,-47.4820159870896
407845,429664,out,101.7,-21,-15.3467632611158
570632,460026,b1,103.6,3,27.4542712543037
607644,543305,out,102.9,32,0.14831816361965
608566,571788,out,84.7,-60,-31.9154025504519
607192,500208,out,50.1,7,33.0727935610439
641745,660162,out,72.6,-17,34.648376021614
543135,621043,b1,83.3,16,-6.08099964811368
666201,516782,out,70.4,47,21.2599945625072
475115,594809,out,87.5,19,-3.08611120436009
596101,570482,out,91.6,43,30.1139589376667
471911,400085,b1,86.7,-13,11.5976222644537
621142,488726,b1,100.9,5,4.23120581854738
669160,600303,out,85.8,18,23.6875263367208
595032,506702,out,80.8,24,-15.1307349287239
452657,624424,out,77.4,30,34.0394369674333
596043,488771,out,83.9,28,2.57788859717058
592346,543432,out,82.9,-21,44.0654708753761
663855,457759,b1,81.8,16,-7.29308730539711
643778,458015,out,89.9,2,33.8328120810435
622491,594824,out,102.2,-11,26.6634893825846
622250,476704,out,102.4,-11,14.3655513348909
518452,542979,out,90,-25,13.1229824293929
457918,608070,b2,100.1,6,-48.7839712819758
643338,624424,out,91.8,19,-18.1122485233751
663432,408234,b1,90.3,-17,-34.4452958683838
605182,553882,out,83.7,11,-14.0026415367319
595014,571506,out,63.2,43,5.62423657178282
657024,543333,b4,114.3,16,24.2066035427308
475115,607208,b1,103.1,14,23.1284453220141
518876,657077,out,99.2,34,-23.8979857731339
608716,595978,out,76.5,35,31.0444774979868
425844,571970,out,97.8,4,46.0651989487163
592332,646240,out,78.2,-17,-18.4896725689494
656288,592348,out,93.5,23,4.0292784988494
542585,443558,b1,99.8,-9,15.130057684933
592662,592743,b1,92.4,8,8.38124456345213
596001,621566,out,81.9,45,-8.51853978893012
621142,596019,out,84.1,59,-42.3514710625047
608379,446381,out,92.9,5,-17.7175581884896
506433,455976,out,102.5,-12,25.6166749317742
448179,607680,b2,102,20,-4.76194881983813
621076,660634,b1,82.6,15,-44.5783370041964
112526,476704,b2,91.2,16,-44.2584320554356
656876,502481,out,69.3,11,-40.270070565641
501985,607680,b3,78.7,24,-23.6121841199476
642008,605170,b4,103.3,25,-18.4284129341888
605200,452678,b2,101.1,11,-11.111707473646
527055,445988,b2,103.3,5,-47.250540717623
681810,624431,b1,77.5,2,30.2428290459299
642152,545358,out,73.5,-30,-41.275726585038
502171,668227,out,87.3,-2,-25.1210560684475
