"id","site","year","Ax","Ly","flCt","capsuleCt","nCapsulesHarvested","ovuleCt","embryoCt","nn1Dist","nn2Dist","nn3Dist","nn4Dist","nn5Dist","nn6Dist","nn7Dist","nn8Dist","nn9Dist","nn10Dist","nn1DistNotConsumed","nn2DistNotConsumed","nn3DistNotConsumed","nn4DistNotConsumed","nn5DistNotConsumed","nn6DistNotConsumed","nn7DistNotConsumed","nn8DistNotConsumed","nn9DistNotConsumed","nn10DistNotConsumed","fecundity","flCtNotConsumed","flCtUndamaged"
"LP407","sppw",2021,683307.901,191818.051,1,0,NA,NA,NA,4.3319299394149,4.59101568281801,4.98480942470261,5.08261664894569,5.11148217252486,5.95904992434027,6.24604074594211,7.44040052687647,7.72727558717097,8.07994461610678,5.08261664894569,5.11148217252486,5.95904992434027,6.24604074594211,7.44040052687647,7.72727558717097,13.3307405645746,15.5773914375565,17.4013188334347,21.0848771088359,0,1,1
"LP408","sppw",2021,683311.565,191815.74,2,0,NA,NA,NA,1.53858441438197,1.98944238426763,4.3319299394149,8.13147096161021,8.31299254178563,8.53276092481235,9.6216304751277,10.2887403504905,10.4466331897036,12.1246289014941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP409","sppw",2021,683312.716,191816.761,1,0,NA,NA,NA,1.05682590808707,1.53858441438197,4.98480942470261,8.91161629559423,9.21900265759565,9.4991244333941,9.65488876172941,9.89689815045853,11.1880168037637,13.0293284554717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP410","sppw",2021,683313.525,191816.081,1,1,1,197,28,1.05682590808707,1.98944238426763,5.95904992434027,9.82778611894793,10.0505578452623,10.2722306244244,10.4678763845226,10.8624365591049,12.1091471624371,13.950884882358,5.95904992434027,9.82778611894793,10.2722306244244,10.4678763845226,10.8624365591049,12.1091471624371,16.6916834382002,20.349033645434,20.5781651271446,25.1142964379295,28,1,1
"LP411","sppw",2021,683341.365,191796.632,1,1,1,413,128,3.56668052960092,11.1328036001503,12.4572371334866,33.9607008319605,35.013452300481,35.3999387570367,39.7317613126097,42.5083482270935,42.7147798894217,42.8821677157326,3.56668052960092,11.1328036001503,12.4572371334866,33.9607008319605,39.7317613126097,42.5083482270935,42.7147798894217,43.1405960204866,43.8533345710556,45.3550437548259,128,1,1
"LP412","sppw",2021,683341.854,191793.099,1,0,NA,NA,NA,3.56668052960092,10.9439646380213,12.328579196265,36.4788235145045,37.5354937093225,37.8158485559504,42.1355967444093,44.8424946786792,45.0646033379392,45.2944264232204,3.56668052960092,10.9439646380213,12.328579196265,36.4788235145045,42.1355967444093,44.8424946786792,45.2944264232204,45.3037782640823,46.6223922703087,47.5788726222908,0,1,1
"LP413","sppw",2021,683352.465,191795.778,1,1,1,373,169,1.38468082967167,10.9439646380213,11.1328036001503,43.9150931798651,44.9474058205425,45.5114430006552,49.8200424026501,51.7511213887563,53.1485512972886,53.1742725103129,1.38468082967167,10.9439646380213,11.1328036001503,43.9150931798651,49.8200424026501,51.7511213887563,53.1485512972886,53.1742725103129,53.5651256042811,55.6737806332704,169,1,1
"LP414","sppw",2021,683353.811,191796.103,1,0,NA,NA,NA,1.38468082967167,12.328579196265,12.4572371334866,44.967569202673,45.9951300574042,46.5868681604929,50.886568011639,52.6833698617942,54.0866153498402,54.3028821518947,1.38468082967167,12.328579196265,12.4572371334866,44.967569202673,50.886568011639,52.6833698617942,54.0866153498402,54.3028821518947,54.68696345569,56.7748178773218,0,1,1
"LP415","sppw",2021,683308.573,191825.749,1,0,NA,NA,NA,1.43245383876938,5.87556635568512,7.72727558717097,9.78041983698784,9.89689815045853,9.94159288044008,10.0717619648079,10.3283977944524,10.4466331897036,10.5152765060686,1.43245383876938,5.87556635568512,7.72727558717097,9.78041983698784,9.94159288044008,10.5152765060686,10.7760246844861,10.8624365591049,11.1741527643293,14.2572068084762,0,1,1
"LP416","sppw",2021,683309.903,191825.217,1,0,NA,NA,NA,1.43245383876938,6.88417692979262,7.44040052687647,8.91161629559423,9.6216304751277,9.82778611894793,10.5604394569254,10.5644462704675,10.6141040602243,11.0892355012247,1.43245383876938,6.88417692979262,7.44040052687647,9.82778611894793,10.5604394569254,10.5644462704675,11.0892355012247,11.428308098816,11.9299396478171,15.4013383226335,0,1,1
"LP417","sppw",2021,683306.739,191831.331,1,0,NA,NA,NA,4.14178494544194,5.87556635568512,6.88417692979262,6.97720914547234,7.13867270568156,7.47324996229064,8.57385801993525,9.06034509770359,9.87584192141946,9.95737867697298,4.14178494544194,5.87556635568512,6.88417692979262,7.13867270568156,8.57385801993525,13.3307405645746,13.7121572701024,15.2919132877592,15.7981804648618,16.6916834382002,0,1,1
"LP418","sppw",2021,683299.27,191831.079,1,0,NA,NA,NA,0.365071225936309,0.655808586860015,7.43622725141601,7.47324996229064,9.09948713643969,10.502050621473,10.7216933829992,11.023912704832,12.0937565779175,12.1418175328317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP419","sppw",2021,683299.601,191831.233,1,0,NA,NA,NA,0.365071225936309,0.583123650383573,7.13867270568156,7.19311960334754,8.73520394502233,10.2336661170451,10.5152765060686,10.7411711620709,11.7844851239379,11.9299396478171,7.13867270568156,7.19311960334754,8.73520394502233,10.5152765060686,11.9299396478171,12.8154299576689,15.147402813679,15.5773914375565,15.7407474409572,18.8413986229719,0,1,1
"LP420","sppw",2021,683312.312,191846.227,2,0,NA,NA,NA,2.05782050902932,2.09420674064878,2.97916433689024,2.98882714285327,3.11689000247603,3.35782101964913,3.41367719627166,3.49891826140758,3.67622482988556,4.03321509464935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP421","sppw",2021,683309.766,191848.501,1,0,NA,NA,NA,0.435725831268418,0.69994323525884,1.10036726396122,1.61425876827235,1.80127048903534,1.87964127007771,2.24573039352397,3.16595167377177,3.41367719627166,5.04741917060174,0.435725831268418,1.80127048903534,1.87964127007771,3.16595167377177,5.47359612198804,6.29415601972386,9.42933149095366,10.7064740454059,13.2095795210903,13.2995974000308,0,1,1
"LP422","sppw",2021,683310.01,191848.862,1,0,NA,NA,NA,0.435725831268418,0.535735998045706,1.5080667238407,1.75056260407297,1.8413522205517,1.88235557742458,2.14129705618113,2.82749305927245,3.49891826140758,5.04534212747277,0.435725831268418,1.75056260407297,2.14129705618113,2.82749305927245,5.04534212747277,6.10351972224417,9.10884380508224,10.3980868600343,13.6440610603218,13.7012304056842,0,1,0
"LP423","sppw",2021,683311.577,191849.829,1,0,NA,NA,NA,1.20532360799515,1.66623448080401,1.67832810611383,1.8413522205517,2.24573039352397,3.13154590319722,3.6532785138281,3.67622482988556,3.69988714998794,3.96561172555815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP424","sppw",2021,683312.751,191849.556,1,1,1,261,136,1.20532360799515,1.79730400800112,2.49048124630709,2.82749305927245,3.16595167377177,3.35782101964913,3.70829475631072,3.82488590588416,4.02542820538793,4.51533974356077,1.79730400800112,2.82749305927245,3.16595167377177,3.70829475631072,4.02542820538793,4.9601174826253,6.28344572189099,7.58029695259664,11.1902356732295,11.3274613808524,136,1,1
"LP425","sppw",2021,683316.022,191847.809,1,0,NA,NA,NA,3.70829475631072,4.03321509464935,4.16607520716235,4.29987406793039,4.42117288611972,4.88246095729421,5.08412948245098,5.11534802367278,5.61238168337492,6.10351972224417,3.70829475631072,4.16607520716235,4.42117288611972,5.11534802367278,6.10351972224417,6.29415601972386,6.98601537571106,8.01550041296429,9.8743701629047,10.0340773105003,0,1,1
"LP426","sppw",2021,683316.493,191852.083,1,0,NA,NA,NA,2.72720839455804,2.9755242935695,4.00050284520085,4.29987406793039,4.51533974356077,4.73238489895694,5.4081024398358,6.12612455016253,6.2577428156717,6.67506888344697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP427","sppw",2021,683213.412,191909.152,1,0,NA,NA,NA,2.20203996332393,3.31185884365009,3.43074831490761,4.31732000207169,4.54911079226546,4.59987412872265,5.87786934188582,9.17623283271391,9.22091345801743,9.56998735634322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP428","sppw",2021,683211.218,191908.964,1,0,NA,NA,NA,1.56054381549626,2.20203996332393,2.28347279380748,2.82300159405242,3.57947999016735,3.73226472802732,4.23354059859873,7.92907945475821,7.95440488031437,8.65366477280882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP429","sppw",2021,683211.215,191911.787,1,0,NA,NA,NA,1.16112574685061,2.72050032162883,2.82300159405242,3.43074831490761,4.26783001069541,5.43350292169317,5.77026975103177,5.82002895179233,6.15341888708666,7.03178640176796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
