"","ObjExam","Online","ACTMath","ACTMajor","ACT","Gender","International","F17","S18","S19","Fa19","FR","SO","JR"
"312",70.24,0,29,30,31,0,0,0,1,0,0,0,0,1
"313",85.71,0,30,31.5,31,1,0,0,1,0,0,0,1,0
"314",92.86,0,35,31.5,28,1,1,0,1,0,0,0,1,0
"315",39.29,1,24,32.5,20,0,0,0,1,0,0,0,0,0
"316",91.67,0,36,26,34,0,1,0,1,0,0,1,0,0
"317",73.81,0,24,28.5,28,1,0,0,1,0,0,1,0,0
"320",88.1,1,32,33.5,31,1,1,0,1,0,0,1,0,0
"321",95.24,0,24,28.5,24,0,0,0,1,0,0,0,1,0
"322",86.9,0,35.6,32.5,33.5,0,1,0,1,0,0,1,0,0
"325",86.9,1,34,33.5,33,0,0,0,1,0,0,0,0,0
"326",54.76,0,25,25.5,26,1,0,0,1,0,0,0,0,0
"327",98.81,1,35.6,33.5,31.7,0,1,0,1,0,0,0,0,1
"328",89.29,1,35.1,34.5,32.4,1,1,0,1,0,0,0,0,1
"329",89.29,1,25,31.5,24,0,0,0,1,0,0,0,0,0
"330",90.48,0,33.9,28,29.6,1,1,0,1,0,0,0,1,0
"331",92.86,0,35.6,31,32.7,1,1,0,1,0,0,0,0,1
"332",89.29,0,32,27.5,28,0,0,0,1,0,0,0,1,0
"333",79.76,0,35.6,31.5,29.9,0,1,0,1,0,0,1,0,0
"335",76.19,1,35.6,31.5,33.7,1,1,0,1,0,0,0,0,1
"336",85.71,0,34.7,26,30.9,0,1,0,1,0,0,0,1,0
"338",95.24,1,36,33.5,35,0,0,0,1,0,0,0,0,1
"339",82.33,1,32.2,28.5,30.5,1,1,0,1,0,0,0,1,0
"343",70.24,0,29,26,25,0,0,0,1,0,0,0,1,0
"344",78.57,0,32.4,26,29.6,0,1,0,1,0,0,1,0,0
"346",88.1,1,30,26,30,0,0,0,1,0,0,1,0,0
"348",96.43,1,36,30.5,32,0,0,0,1,0,0,0,1,0
"350",91.67,1,28,31.5,26,0,0,0,1,0,0,0,0,1
"352",77.38,1,27,27.5,25,1,0,0,1,0,0,0,0,0
"353",88.1,1,31,31.5,30,0,0,0,1,0,0,0,0,0
"354",77.38,0,35,31,32,0,0,0,1,0,0,0,1,0
"355",90.48,0,32,32.5,32,0,0,0,1,0,0,0,0,1
"359",92.86,0,35.1,31.5,34.2,0,1,0,1,0,0,0,0,0
"360",70.24,1,33,31.5,27,0,1,0,1,0,0,0,0,1
"361",85.71,0,26,31.5,28,0,0,0,1,0,0,0,1,0
"362",88.1,0,28,26,30,1,0,0,1,0,0,0,1,0
"363",66.67,1,27,30.5,29,1,0,0,1,0,0,0,0,0
"364",77.38,1,34.7,26,31.7,0,1,0,1,0,0,0,1,0
"365",95.24,1,35.6,26,35,0,1,0,1,0,0,0,0,1
"366",97.62,0,34,29,32,0,0,0,1,0,0,0,0,0
"367",77.38,1,31.7,30.5,25.2,1,1,0,1,0,0,0,0,0
"368",88.1,0,35.6,26,33,0,1,0,1,0,0,0,1,0
"369",95.24,1,35,34.5,35,0,0,0,1,0,0,0,0,1
"371",65.48,1,26,30.5,25,0,0,0,1,0,0,0,1,0
"372",88.1,1,33,31,29,0,0,0,1,0,0,0,0,1
"373",83.33,1,33,27.5,29,0,0,0,1,0,0,0,1,0
"374",90.48,1,31.2,28.5,31.4,1,0,0,1,0,0,0,1,0
"375",83.33,0,27,31,28,0,0,0,1,0,0,0,0,1
"377",80.95,1,34,31,31,0,0,0,1,0,0,0,0,1
"378",95.24,1,36,34.5,35,0,0,0,1,0,0,0,0,0
"380",98.81,0,32.8,31.5,32.4,0,0,0,1,0,0,0,0,0
"382",91.67,1,30,26,28,0,0,0,1,0,0,0,1,0
"383",58.33,1,20,25.5,20,1,0,0,1,0,0,0,0,0
"384",85.71,0,28,27.5,31,1,0,0,1,0,0,0,1,0
"385",83.33,1,27,29.5,30,1,0,0,1,0,0,0,0,0
"386",86.9,1,31,32.5,28,0,0,0,1,0,0,0,0,1
"387",92.86,0,36,34.5,35,0,0,0,1,0,0,0,0,1
"389",98.81,1,35.6,31.5,31.2,1,1,0,1,0,0,0,0,1
"390",92.86,1,35.6,34.5,32.7,1,1,0,1,0,0,0,0,0
"391",97.62,1,36,31.5,31,0,0,0,1,0,0,0,0,1
"392",64.29,1,29,30.5,28,0,1,0,1,0,0,0,0,1
"394",95.24,1,32.9,26,28.1,0,1,0,1,0,0,1,0,0
"396",65.48,0,26,26.5,24,1,0,0,1,0,0,1,0,0
"397",91.67,1,35.2,31.5,32.7,0,1,0,1,0,0,0,1,0
"398",88.1,0,36,31.5,32,1,1,0,1,0,0,0,1,0
"399",90.48,1,32,31,29,0,0,0,1,0,0,0,0,0
"400",60.71,0,24,28.5,25,1,0,0,1,0,0,0,0,1
"402",94.24,1,36,32,35,0,0,0,1,0,0,0,0,1
"405",88.1,0,25.2,29.5,27.2,1,0,0,1,0,0,1,0,0
"408",96.43,1,36,34,35,0,0,0,1,0,0,0,0,1
"411",94.05,0,28,29.5,26,1,0,0,1,0,0,0,1,0
"412",65.48,1,32.2,26,32.1,0,1,0,1,0,0,0,1,0
"413",89.29,1,33,30.5,33,0,0,0,1,0,0,0,0,1
"414",72.62,0,31,26,30,0,0,0,1,0,0,0,1,0
"416",97.62,1,34,30.5,33,0,1,0,1,0,0,0,0,1
"417",92.86,1,33,31,30,0,0,0,1,0,0,0,1,0
"418",85.71,0,35,30.5,28,0,0,0,1,0,0,0,0,0
"419",91.67,1,33,30.5,31,1,0,0,1,0,0,0,0,0
"420",95.24,1,36,27.5,35,0,0,0,1,0,0,0,0,1
"421",92.86,0,35.1,30.5,33.5,0,1,0,1,0,0,0,1,0
"422",86.9,1,34,30.5,26,1,0,0,1,0,0,0,0,1
"423",85.71,0,25,28.5,27,1,0,0,1,0,0,0,0,0
"425",75,1,35,26,30,1,1,0,1,0,0,1,0,0
"426",94.05,0,33.4,33.5,33.2,0,1,0,1,0,0,1,0,0
"427",90.48,1,29,30.5,28,1,0,0,1,0,0,0,1,0
"428",90.48,1,35,33.5,34,0,0,0,1,0,0,0,0,1
"429",96.5,1,35.6,34.5,33.8,0,1,0,1,0,0,0,0,1
"430",91.67,1,34,33.5,26,0,0,0,1,0,0,0,0,0
"433",73.81,0,32,33.5,34,0,0,0,1,0,0,0,1,0
"435",84.52,1,24,28.5,25,1,0,0,1,0,0,0,1,0
"437",84.52,0,28,30.5,25,0,0,0,1,0,0,0,0,1
"439",69.05,0,34.4,31,32.1,0,1,0,1,0,0,0,1,0
"441",69.05,0,35,29,30,0,0,0,1,0,0,1,0,0
"442",78.57,1,33.3,32,30.8,1,1,0,1,0,0,0,1,0
"443",89.29,1,36,33.5,34,0,0,0,1,0,0,1,0,0
"444",98.81,1,33.8,31,31.9,0,1,0,1,0,0,0,0,0
"445",84.52,1,27,31.5,27,1,0,0,1,0,0,0,1,0
"446",96.43,1,35.6,30.5,31.5,0,1,0,1,0,0,0,1,0
"449",76.19,1,30,26,30,0,0,0,1,0,0,0,1,0
"450",97.62,1,35.6,31.5,33.2,1,1,0,1,0,0,0,0,1
"451",95.24,1,31,29.5,29,0,0,0,1,0,0,0,0,1
"452",94.05,1,35.6,33.5,33.2,1,1,0,1,0,0,0,0,1
"453",92.86,1,35.2,31,32.4,1,1,0,1,0,0,1,0,0
"454",90.48,1,36,31.5,29,1,1,0,1,0,0,1,0,0
"455",91.67,0,24,29.5,29,0,0,0,1,0,0,0,0,0
"458",92.86,1,35.6,32,31.2,1,1,0,1,0,0,0,0,0
"459",36.9,0,25,29.5,25,0,0,0,1,0,0,0,0,0
"461",78.57,1,26,30.5,31,1,0,0,1,0,0,0,0,1
"462",85.71,0,30,28,27,1,0,0,1,0,0,0,1,0
"463",97.62,0,34.7,26,32.6,1,1,0,1,0,0,0,1,0
"464",77.38,1,35.1,33.5,35.6,0,0,0,1,0,0,0,0,0
"465",95.24,0,36,34.5,35,0,0,0,1,0,0,0,1,0
"468",86.9,1,26,30.5,28,0,0,0,1,0,0,0,1,0
"469",86.9,0,36,30.5,35,0,0,0,1,0,0,0,0,1
"471",92.86,1,33.8,33.5,34.4,0,0,0,1,0,0,0,1,0
"472",86.9,1,36,33.5,34,0,0,0,1,0,0,0,0,0
"473",90.48,1,35.1,34.5,35.5,1,1,0,1,0,0,0,0,0
"475",76.19,0,35.6,29.5,32.1,0,1,0,1,0,0,0,1,0
"476",85.71,1,26,28,26,1,0,0,1,0,0,0,0,0
"477",79.76,0,31,30.5,30,0,1,0,1,0,0,1,0,0
"478",94.05,1,35.6,34.5,35.8,0,0,0,1,0,0,0,0,1
"479",79.76,1,34.7,34,33,1,1,0,1,0,0,0,0,0
"480",80.95,1,35.1,32.5,34.4,0,1,0,1,0,0,0,1,0
"481",90.48,0,33,27.5,33,0,0,0,1,0,0,0,1,0
"483",64.29,0,28,31.5,28,1,0,0,1,0,0,0,0,1
"484",91.67,0,33,26,33,0,0,0,1,0,0,0,1,0
"485",92.86,1,35.5,31,31.9,1,1,0,1,0,0,0,0,0
"486",80.95,0,35.6,31.5,31.9,1,1,0,1,0,0,0,0,1
"487",73.81,1,25,26,29,0,0,0,1,0,0,0,1,0
"489",79.76,0,25,26,24,0,0,0,1,0,0,0,1,0
"490",89.29,1,35.1,26,33.3,0,1,0,1,0,0,0,0,1
"491",91.67,1,30,30.5,28,0,0,0,1,0,0,0,0,1
"492",89.29,1,32,32,34,0,0,0,1,0,0,0,0,1
"493",92.86,1,34.7,33.5,34,0,0,0,1,0,0,0,1,0
"494",80.95,0,35.1,29.5,34.5,0,0,0,1,0,0,1,0,0
"495",92.86,1,34.8,31.5,30.9,1,1,0,1,0,0,0,1,0
"497",90.48,0,35,26,32,0,0,0,1,0,0,0,1,0
"498",85.71,1,33,30.5,32,0,0,0,1,0,0,0,0,1
